sensor_id,sensor_type,value,unit,timestamp,quality
sensor-001,temperature,51.183,C,2025-08-13T11:00:48.746689+00:00,0.974
sensor-001,temperature,57.875,C,2025-08-13T11:05:48.746689+00:00,0.955
sensor-001,temperature,65.256,C,2025-08-13T11:10:48.746689+00:00,0.983
sensor-001,temperature,60.841,C,2025-08-13T11:15:48.746689+00:00,0.976
sensor-001,temperature,62.016,C,2025-08-13T11:20:48.746689+00:00,0.971
sensor-001,temperature,56.634,C,2025-08-13T11:25:48.746689+00:00,0.938
sensor-001,temperature,65.943,C,2025-08-13T11:30:48.746689+00:00,0.938
sensor-001,temperature,66.193,C,2025-08-13T11:35:48.746689+00:00,0.965
sensor-001,temperature,61.223,C,2025-08-13T11:40:48.746689+00:00,0.984
sensor-001,temperature,65.766,C,2025-08-13T11:45:48.746689+00:00,0.967
sensor-001,temperature,62.077,C,2025-08-13T11:50:48.746689+00:00,1.0
sensor-001,temperature,60.635,C,2025-08-13T11:55:48.746689+00:00,0.994
sensor-001,temperature,65.859,C,2025-08-13T12:00:48.746689+00:00,0.979
sensor-001,temperature,63.785,C,2025-08-13T12:05:48.746689+00:00,0.976
sensor-001,temperature,64.891,C,2025-08-13T12:10:48.746689+00:00,1.0
sensor-001,temperature,65.283,C,2025-08-13T12:15:48.746689+00:00,0.982
sensor-001,temperature,66.003,C,2025-08-13T12:20:48.746689+00:00,1.0
sensor-001,temperature,65.06,C,2025-08-13T12:25:48.746689+00:00,0.965
sensor-001,temperature,63.743,C,2025-08-13T12:30:48.746689+00:00,0.983
sensor-001,temperature,58.569,C,2025-08-13T12:35:48.746689+00:00,0.971
sensor-001,temperature,64.678,C,2025-08-13T12:40:48.746689+00:00,0.985
sensor-001,temperature,65.339,C,2025-08-13T12:45:48.746689+00:00,0.981
sensor-001,temperature,60.661,C,2025-08-13T12:50:48.746689+00:00,0.965
sensor-001,temperature,63.755,C,2025-08-13T12:55:48.746689+00:00,0.95
sensor-001,temperature,62.364,C,2025-08-13T13:00:48.746689+00:00,0.97
sensor-001,temperature,57.291,C,2025-08-13T13:05:48.746689+00:00,0.98
sensor-001,temperature,57.987,C,2025-08-13T13:10:48.746689+00:00,0.985
sensor-001,temperature,65.55,C,2025-08-13T13:15:48.746689+00:00,0.952
sensor-001,temperature,60.793,C,2025-08-13T13:20:48.746689+00:00,0.976
sensor-001,temperature,57.505,C,2025-08-13T13:25:48.746689+00:00,0.99
sensor-001,temperature,59.88,C,2025-08-13T13:30:48.746689+00:00,0.995
